Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630422939391,0401E452,true,Rx,0,8,00,04,44,F5,FF,FF,00,00,
-1762630422937897,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422930900,1C0000C1,true,Rx,0,8,02,FD,09,00,00,12,27,80,
-1762630422930815,1C0000C1,true,Rx,0,5,00,69,16,40,03,00,00,00,
-1762630422929407,0401E411,true,Rx,0,7,00,01,00,00,00,00,00,00,
-1762630422929279,0401E411,true,Rx,0,7,01,01,02,00,00,00,00,00,
-1762630422929151,0401E451,true,Rx,0,8,01,0F,72,FE,FF,FF,00,00,
-1762630422929023,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630422928895,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630422928767,0401E451,true,Rx,0,8,00,0F,4B,FF,FF,FF,00,00,
-1762630422928597,1C000026,true,Rx,0,8,02,FD,09,00,00,12,27,80,
-1762630422928469,1C000026,true,Rx,0,5,00,69,17,1E,03,00,00,00,
-1762630422925738,040A2011,true,Rx,0,8,E6,FF,F8,FF,D0,03,12,8F,
-1762630422925567,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,12,8F,
-1762630422924543,0405240A,true,Rx,0,3,0D,00,00,00,00,00,00,00,
-1762630422924159,040A2012,true,Rx,0,8,0E,00,FC,FF,E5,03,13,8F,
-1762630422924031,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,13,8F,
-1762630422919893,0401E412,true,Rx,0,7,00,01,01,00,00,00,00,00,
-1762630422919765,0401E412,true,Rx,0,7,01,01,03,00,00,00,00,00,
-1762630422919594,0401E452,true,Rx,0,8,01,18,C9,F5,FF,FF,00,00,
-1762630422919466,0401E452,true,Rx,0,8,00,18,44,F5,FF,FF,00,00,
-1762630422916437,1C0000C2,true,Rx,0,8,02,FD,09,00,00,11,27,80,
-1762630422916352,1C0000C2,true,Rx,0,5,00,E1,16,40,03,00,00,00,
-1762630422914773,1C000046,true,Rx,0,8,02,FD,09,00,00,11,27,80,
-1762630422914645,1C000046,true,Rx,0,5,00,E1,17,1E,03,00,00,00,
-1762630422912256,0405C40F,true,Rx,0,8,00,01,40,40,7E,51,7A,2E,
-1762630422912128,0405C42F,true,Rx,0,8,00,64,B2,29,D9,FF,57,00,
-1762630422912000,0405C40F,true,Rx,0,8,01,01,E3,3F,EE,51,34,1D,
-1762630422911872,0405C42F,true,Rx,0,8,01,64,A8,29,16,00,4B,00,
-1762630422911744,0405C52F,true,Rx,0,5,00,D7,FF,22,00,00,00,00,
-1762630422911616,0405C40F,true,Rx,0,8,02,01,38,41,D6,51,5F,D5,
-1762630422911488,0405C42F,true,Rx,0,8,02,64,65,28,15,00,5B,00,
-1762630422911360,0405C52F,true,Rx,0,5,02,12,00,E9,FF,00,00,00,
-1762630422911232,0405C52F,true,Rx,0,5,01,DF,FF,32,00,00,00,00,
-1762630422910464,0405C410,true,Rx,0,8,00,01,C8,45,1A,87,F9,71,
-1762630422910293,0405C430,true,Rx,0,8,00,64,6E,08,C9,00,67,00,
-1762630422910165,0405C410,true,Rx,0,8,01,01,78,4C,F9,87,2A,48,
-1762630422910037,0405C430,true,Rx,0,8,01,64,FD,2B,2D,02,DE,FF,
-1762630422909909,0405C530,true,Rx,0,5,00,9B,00,2C,01,00,00,00,
-1762630422909781,0405C410,true,Rx,0,8,02,01,46,45,6E,89,6E,8B,
-1762630422909653,0405C430,true,Rx,0,8,02,64,A9,2D,31,00,80,FF,
-1762630422909525,0405C530,true,Rx,0,5,02,BA,FF,11,FF,00,00,00,
-1762630422909397,0401E411,true,Rx,0,7,00,01,01,00,00,00,00,00,
-1762630422909269,0401E411,true,Rx,0,7,01,01,04,00,00,00,00,00,
-1762630422909099,0401E451,true,Rx,0,8,01,23,72,FE,FF,FF,00,00,
-1762630422908971,0401E451,true,Rx,0,8,00,23,4B,FF,FF,FF,00,00,
-1762630422908885,0405C530,true,Rx,0,5,01,5C,FF,FB,01,00,00,00,
-1762630422905728,040A2011,true,Rx,0,8,E9,FF,F7,FF,D2,03,26,8F,
-1762630422905600,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,26,8F,
-1762630422905472,04072001,true,Rx,0,4,00,00,00,01,00,00,00,00,
-1762630422904149,040A2012,true,Rx,0,8,0E,00,F6,FF,E8,03,27,8F,
-1762630422904021,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,27,8F,
-1762630422899883,0401E412,true,Rx,0,7,00,01,03,00,00,00,00,00,
-1762630422899755,0401E412,true,Rx,0,7,01,01,00,00,00,00,00,00,
-1762630422899584,0401E452,true,Rx,0,8,01,2C,C9,F5,FF,FF,00,00,
-1762630422899456,0401E452,true,Rx,0,8,00,2C,44,F5,FF,FF,00,00,
-1762630422898944,0405280C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422898134,04030C82,true,Rx,0,4,01,05,10,00,00,00,00,00,
-1762630422897963,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630422897451,1C0003FA,true,Rx,0,8,02,FD,1F,00,00,00,00,00,
-1762630422897323,1C0003FA,true,Rx,0,8,00,E2,14,02,01,28,80,33,
-1762630422897152,1C0003FA,true,Rx,0,8,00,00,00,57,69,66,69,42,
-1762630422897024,1C0003FA,true,Rx,0,8,6C,65,44,6F,6E,67,6C,65,
-1762630422896896,1C0003FA,true,Rx,0,3,00,3C,03,00,00,00,00,00,
-1762630422893910,0405280B,true,Rx,0,2,00,00,00,00,00,00,00,00,
